Name,Room Number,Age,Contact Info,Dietary Restrictions,DOB
Jacob Robertson,129,72,9944430333,Gluten Free,1933-08-22
Mark Anderson,560,92,001-158-570-1634x471,Vegetarian,1924-02-22
James Dickerson,689,66,+1-925-366-4454,Low Sugar,1944-01-23
Beth Fuller,833,99,001-209-867-6346x23339,Low Sugar,1955-12-18
Shelby Ferguson,710,98,(972)034-8948,Low Sodium,1951-07-04
Richard Martin,255,68,245-412-0115,Low Sodium,1933-03-21
William Rodriguez,951,86,(424)135-9346x107,Low Sugar,1943-09-27
James Campbell,713,79,068-144-4776x142,Vegetarian,1948-06-01
Michele Gibson,392,72,+1-286-829-0452x4313,Gluten Free,1956-07-25
Haley Nguyen,994,98,849.024.9846x03741,Gluten Free,1937-01-24
Travis Fleming,837,82,500-009-9255,None,1936-04-21
Mrs. Melanie Hartman,532,72,204-407-5516x8815,Gluten Free,1958-11-09
Tracy Sanders,713,81,278.013.2567,Gluten Free,1939-09-06
Shirley Ferguson,344,96,(753)815-3598x43646,Low Sugar,1931-10-17
Tyler Pierce,604,70,001-924-675-1806x748,Low Sugar,1930-12-23
Mark Wright,532,76,9193441167,Low Sugar,1953-09-12
Patrick Nelson,148,77,001-380-232-1389x07663,Low Sodium,1951-04-22
Cassandra Peterson,258,79,725.951.3391x9896,Vegetarian,1958-09-10
George Hawkins,567,72,203-687-4484x363,Low Sugar,1933-07-20
Amy Hunter,667,84,+1-578-131-3578,Low Sodium,1929-06-10
Ashley Williams,729,82,(136)147-8030x82050,Gluten Free,1936-01-15
Heather Gibson,354,81,(926)291-8896,None,1957-06-13
Jack Allen,881,92,471.397.5976x13391,Low Sugar,1953-07-08
John Castillo,708,76,424-875-1493x32607,Gluten Free,1947-12-30
David Austin,477,86,(635)960-3818x3873,None,1924-09-04
Douglas Jones,479,76,001-170-884-7216x237,Vegetarian,1950-05-26
Dillon George,510,80,001-788-730-6401x40401,Vegetarian,1938-06-09
Ian Carlson,857,84,(866)968-4826x668,Low Sugar,1946-12-31
Chase Sullivan,549,91,(044)891-6025x903,Gluten Free,1954-08-19
Richard Tanner,710,75,+1-742-081-8524x6868,Low Sodium,1948-04-14
April Wright,854,85,+1-359-762-2276x8277,None,1952-04-21
Jeffrey Wilkins,773,65,(972)423-6815,Low Sugar,1936-03-04
Eric Anderson,457,96,(504)599-4413x067,Vegetarian,1944-02-11
Michael Schwartz,470,75,541.013.4611,Low Sugar,1958-12-14
Sandra Hardy,288,80,001-816-081-4365x2430,None,1935-05-04
Tracy Garrett,720,76,+1-326-615-4449x323,Low Sugar,1948-04-27
Erika Porter,254,72,(926)998-2350x051,Low Sugar,1939-07-14
Heather Medina,339,72,543-780-2086,Gluten Free,1942-01-15
Melissa Franklin,673,97,(415)806-8302x8691,Gluten Free,1947-05-16
Melissa Garrison,981,91,925-849-3498x130,Vegetarian,1934-09-08
Karen Schwartz,321,75,780.484.7026,Vegetarian,1942-02-08
Dr. Christopher Gomez,250,89,000.892.6957,Vegetarian,1940-12-30
Cynthia Sampson,398,78,808.512.1063,Low Sugar,1942-05-18
Manuel Branch,354,92,001-389-623-6197x8277,Vegetarian,1929-04-05
Mark Moran,110,82,+1-131-946-1954x8115,Low Sugar,1948-01-19
Joshua Martinez,470,98,326.364.4895x277,Low Sugar,1952-06-25
Charles Howard,405,88,(168)718-5968,Gluten Free,1925-03-26
Kendra Baxter,514,87,+1-162-341-7526x715,None,1925-10-24
Rebecca Daniel,131,94,383-196-2217,Vegetarian,1934-11-26
Phillip Barrett,504,83,(575)282-9273,Low Sugar,1950-12-25
Dustin Cummings,988,90,133.571.3105,Low Sugar,1956-04-30
Jeffrey Adams,291,93,(170)825-5547x523,Gluten Free,1949-01-27
Richard Byrd,380,69,+1-291-616-0965x123,Vegetarian,1929-09-04
Tracy Valdez,291,93,001-085-642-9992x115,Vegetarian,1940-11-30
Gregory Davis,987,96,869.346.0359x69425,Low Sodium,1940-07-06
Michelle Jensen,751,85,075-791-7887,Low Sugar,1933-02-05
Joseph Adams,659,77,316.444.6080,Low Sodium,1950-10-11
